Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
123BD2       1    No     00000DCB-00000DD0        6
123BD4       1    No     00000DD1-00000DD6        6
123BD6       1    No     00000DD7-00000DDC        6
123BD8       2    No     00000DDD-00000DE3        7
123BDB       1    No     00000DE4-00000DE9        6
123C45       1    No     00000DEA-00000DEF        6
123C54       1    No     00000DF0-00000DF5        6
123C85       1    No     00000DF6-00000DFB        6
123C87       8    No     00000DFC-00000E08        D
123C94       A    No     00000E09-00000E17        F
123CAB       4    No     00000E18-00000E20        9
123CBB       3    No     00000E21-00000E28        8
123D05       1    No     00000E29-00000E2E        6
123D14       1    No     00000E2F-00000E34        6
123E85       1    No     00000E35-00000E3A        6
123E94       1    No     00000E3B-00000E40        6
123EC5       1    No     00000E41-00000E46        6
123ED4       1    No     00000E47-00000E4C        6
124005       1    No     00000E4D-00000E52        6
124014       1    No     00000E53-00000E58        6
124282       1    No     00000E59-00000E5E        6
124284       B    No     00000E5F-00000E6E       10
124294       8    No     00000E6F-00000E7B        D
12429D       1    No     00000E7C-00000E81        6
124404       1    No     00000E82-00000E87        6
124406       1    No     00000E88-00000E8D        6
124414       1    No     00000E8E-00000E93        6
124602       1    No     00000E94-00000E99        6
124612       1    No     00000E9A-00000E9F        6
12468F       1    No     00000EA0-00000EA5        6
1246C1       1    No     00000EA6-00000EAB        6
124781       1    No     00000EAC-00000EB1        6
1247C1       1    No     00000EB2-00000EB7        6
124844       1    No     00000EB8-00000EBD        6
124846       2    No     00000EBE-00000EC4        7
124854       4    No     00000EC5-00000ECD        9
124A08       1    No     00000ECE-00000ED3        6
124A0A       1    No     00000ED4-00000ED9        6
124A18       2    No     00000EDA-00000EE0        7
124A84       1    No     00000EE1-00000EE6        6
124A86       2    No     00000EE7-00000EED        7
124A94       4    No     00000EEE-00000EF6        9
124AC4       1    No     00000EF7-00000EFC        6
124AC6       2    No     00000EFD-00000F03        7
124AD4       2    No     00000F04-00000F0A        7
124AD7       1    No     00000F0B-00000F10        6
124C02       1    No     00000F11-00000F16        6
124C12       1    No     00000F17-00000F1C        6
124CE1       1    No     00000F1D-00000F22        6
124CE3       1    No     00000F23-00000F28        6
124D81       1    No     00000F29-00000F2E        6
124D84       1    No     00000F2F-00000F34        6
